wavelength_micron,total_depth_ppm,aerosols_depth_ppm,rayleigh_plus_cia_depth_ppm,molecule_H2O_depth_ppm,molecule_CO_depth_ppm,molecule_CO2_depth_ppm,molecule_CH4_depth_ppm,molecule_NH3_depth_ppm
7.255857362372222230e-01,2.776394153775810992e+03,2.761830681461383392e+03,2.515338194705502701e+03,2.699603448804638447e+03,2.322045864765391343e+03,2.322046143144148573e+03,2.322045863941310017e+03,2.337913474064877391e+03
7.263116848872623876e-01,2.777642897888623338e+03,2.761815468562144815e+03,2.515058206471270751e+03,2.699296050441682837e+03,2.322045865086710364e+03,2.322046055520416758e+03,2.322045863941310017e+03,2.338001188628104501e+03
7.270383598490477439e-01,2.772866565740183887e+03,2.761800300155555760e+03,2.514778200304023358e+03,2.677927975983948727e+03,2.322045864687453559e+03,2.322046011948506930e+03,2.322045863941310017e+03,2.335469001069004207e+03
7.277657618492532343e-01,2.778478804921914161e+03,2.761785176171618332e+03,2.514498176545113893e+03,2.700167858270296165e+03,2.322045864862989220e+03,2.322046125095851949e+03,2.322045863941310017e+03,2.333843171900229663e+03
7.284938916152805533e-01,2.769769912385020689e+03,2.761770096539989936e+03,2.514218135421885563e+03,2.663781461750798826e+03,2.322045864839405567e+03,2.322046082177685093e+03,2.322045863941310017e+03,2.332734842592534278e+03
7.292227498752599235e-01,2.775239625003584479e+03,2.761755061189979187e+03,2.513938079539917453e+03,2.693860521440001776e+03,2.322045864393934153e+03,2.322046037582191275e+03,2.322045863941310017e+03,2.332008062655206686e+03
7.299523373580506513e-01,2.774683303092439473e+03,2.761740070050558188e+03,2.513658007003942657e+03,2.688052546081055880e+03,2.322045864367591093e+03,2.322046007251488845e+03,2.322045863941310017e+03,2.331959024974235490e+03
7.306826547932392391e-01,2.775827005435661249e+03,2.761725123050356160e+03,2.513377919873683823e+03,2.693204633535810444e+03,2.322045864335930219e+03,2.322046002303500700e+03,2.322045863941310017e+03,2.332346244848340120e+03
7.314137029111422716e-01,2.777256355015638746e+03,2.761710220117673543e+03,2.513097818197154083e+03,2.698441540518165311e+03,2.322045864222806813e+03,2.322046042680336541e+03,2.322045863941310017e+03,2.333250426282108947e+03
7.321454824428097474e-01,2.772936459521047709e+03,2.761695361180475629e+03,2.512817703342467212e+03,2.681531840734358411e+03,2.322045864209489991e+03,2.322046021011609355e+03,2.322045863941310017e+03,2.332686548477132874e+03
7.328779941200223025e-01,2.770259976087270843e+03,2.761680546166413478e+03,2.512537575415140964e+03,2.666317024324012436e+03,2.322045864184408401e+03,2.322045969881070050e+03,2.322045863941310017e+03,2.333535711949302367e+03
7.336112386752893233e-01,2.772658858650782349e+03,2.761665775002803912e+03,2.512257434755158101e+03,2.685764290390055521e+03,2.322045864166650972e+03,2.322045978621077211e+03,2.322045863941310017e+03,2.334033510097371163e+03
7.343452168418554971e-01,2.768656649900410684e+03,2.761651047616655433e+03,2.511977283107052244e+03,2.662691122216566782e+03,2.322045864163814258e+03,2.322045977367865817e+03,2.322045863941310017e+03,2.333715464833961960e+03
7.350799293537004786e-01,2.769645510201500656e+03,2.761636363934662768e+03,2.511697120529684980e+03,2.667812157186311197e+03,2.322045864054602589e+03,2.322045981287015366e+03,2.322045863941310017e+03,2.333725132221833519e+03
7.358153769455357818e-01,2.770000456366767594e+03,2.761621723883208233e+03,2.511416948168821364e+03,2.672780383320405690e+03,2.322045864135448483e+03,2.322045939921884838e+03,2.322045863941310017e+03,2.333640235406383908e+03
