panel,sweep,level,species,point_index,x,value
b,temperature_melt,surface,H2O,9,2900.028645356242,-1.0639315853194926
b,temperature_melt,surface,H2O,10,3000.248257668229,-1.209457171870083
b,temperature_melt,surface,H2O,11,3099.9713546437574,-1.3497996553380496
b,temperature_melt,surface,H2O,12,3200.1909669557444,-1.4799752802076505
b,temperature_melt,surface,H2O,13,3299.952257869963,-1.60755935608762
b,temperature_melt,surface,H2O,14,3400.17187018195,-1.7249765784725852
b,temperature_melt,surface,H2O,15,3499.8949671574783,-1.8372106926715652
b,temperature_melt,surface,H2O,16,3600.114579469465,-1.9442617088912844
b,temperature_melt,surface,H2O,17,3699.8376774227454,-2.043936768172511
b,temperature_melt,surface,H2O,18,3800.0572897347324,-2.1408209257938626
b,temperature_melt,surface,H2O,19,3899.7803876880134,-2.2327213278994718
b,temperature_melt,surface,H2O,20,4000.0,-2.31943863202582
b,temperature_melt,surface,CO,0,2000.0,-2.4266889958124196
b,temperature_melt,surface,CO,1,2100.2196123119866,-2.393397528564172
b,temperature_melt,surface,CO,2,2199.9809032262056,-2.3603054037794413
b,temperature_melt,surface,CO,3,2300.200515538192,-2.332197039613817
b,temperature_melt,surface,CO,4,2399.9236125137204,-2.3040886754481926
b,temperature_melt,surface,CO,5,2500.1432248257074,-2.281163409261829
b,temperature_melt,surface,CO,6,2599.866322778988,-2.2582381430754666
b,temperature_melt,surface,CO,7,2700.085935090975,-2.2353128819924653
b,temperature_melt,surface,CO,8,2799.8090330442556,-2.214779822332213
b,temperature_melt,surface,CO,9,2900.028645356242,-2.1970376592284744
b,temperature_melt,surface,CO,10,3000.248257668229,-2.1790961485578535
b,temperature_melt,surface,CO,11,3099.9713546437574,-2.163746191980226
b,temperature_melt,surface,CO,12,3200.1909669557444,-2.1483962302992357
b,temperature_melt,surface,CO,13,3299.952257869963,-2.1332456212884896
b,temperature_melt,surface,CO,14,3400.17187018195,-2.1204872137004926
b,temperature_melt,surface,CO,15,3499.8949671574783,-2.1077288061124957
b,temperature_melt,surface,CO,16,3600.114579469465,-2.0949703985244987
b,temperature_melt,surface,CO,17,3699.8376774227454,-2.084604192359251
b,temperature_melt,surface,CO,18,3800.0572897347324,-2.0744373388642465
b,temperature_melt,surface,CO,19,3899.7803876880134,-2.064270480265881
b,temperature_melt,surface,CO,20,4000.0,-2.0541036216675144
b,temperature_melt,surface,CO2,0,2000.0,-2.0999541540402413
b,temperature_melt,surface,CO2,1,2100.2196123119866,-2.4087474851417987
b,temperature_melt,surface,CO2,2,2199.9809032262056,-2.6894324520777326
