reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,temperature_k
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,0,87.176042,50.19601,3.8602249813919842,7248.113432331032,1463.9822827169755
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,1,89.409619,47.682788,3.764216348951,5810.538042839994,1377.662871451514
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,2,91.643196,45.495818,3.6682077165100155,4658.088296009556,1302.5489488234189
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,3,93.776387,43.706806,3.576514101002059,3771.499904040431,1241.103337338701
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,4,95.905993,42.193853,3.4849745840308,3054.742337034258,1189.1392799524797
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,5,98.039185,40.94262,3.393280925538593,2473.32350925525,1146.1642877250054
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,6,100.272762,39.884987,3.297272293097609,1982.769789263114,1109.8387033178487
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,7,102.610309,39.020955,3.1967945881711506,1573.2385808893252,1080.1625610771237
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,8,105.148628,38.321842,3.0876868493786365,1223.7335007406589,1056.1507457388723
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,9,108.092074,37.751795,2.9611650302858163,914.4606671039062,1036.5718460500893
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,10,111.544617,37.321572,2.812760058407214,649.7706020381735,1021.7953575135174
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,11,115.911385,37.00966,2.625057810458274,421.75264066208433,1011.0823921620151
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,12,122.206989,36.808889,2.3544459934356285,226.17572621123588,1004.186688352651
