reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,8,297.114348,302.310558,3.83492599569514,6837.951178384154,-7.266144748541694,5.4182027386368765e-08
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,0,297.214733,302.238854,3.8306103566663268,6770.3380915598855,-7.280099335199321,5.24687435947612e-08
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,1,302.495726,298.485154,3.6035758445212203,4013.985917755495,-8.010621090425346,9.758406596185368e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,2,305.238401,296.818038,3.4856658452847915,3059.60840492715,-8.335064840987569,4.623119921914463e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,3,307.471978,295.710213,3.3896424147417994,2452.68861265765,-8.550662854543065,2.8140845736924347e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,4,309.501199,294.939396,3.3024044275356794,2006.3395188716036,-8.700674466498757,1.992166044562246e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,5,311.53042,294.412372,3.2151664403295594,1641.2186382779971,-8.803240600586784,1.5731111142251684e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,6,313.563226,294.121971,3.1277743308350674,1342.067411559013,-8.859756637627415,1.3811579970438976e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,7,315.592446,294.061023,3.0405363866198227,1097.8332665017938,-8.871617958440883,1.3439466886109814e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,8,317.826023,294.225942,2.9445129560768284,880.0613656994447,-8.839522448051103,1.4470300562795918e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,9,320.263956,294.631069,2.8397040821969624,691.3597345160416,-8.76067915020378,1.7350853776069222e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,10,323.107017,295.340938,2.717478400940847,521.769154097934,-8.622528859061568,2.3849053121803312e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,11,326.555975,296.441593,2.5692046772417303,370.8554598736867,-8.408326226326315,3.905474204680831e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,12,331.127099,298.148146,2.3726880548385587,235.87833569886394,-8.076207492025164,8.390590151568526e-09
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,13,337.82783,300.912332,2.0846177632095784,121.51160664457227,-7.5382587991378225,2.895617554598011e-08
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,14,350.720194,306.515993,1.5303637486450552,33.91280780832323,-6.4477091362953916,3.566899424096829e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,15,374.479286,316.834186,0.5089395844337536,3.228045030733459,-4.439646568396803,3.6337365025574635e-05
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,16,379.96105,318.963792,0.2732737512401453,1.8761767562819394,-4.025195889583925,9.43635151347467e-05
